date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Fri, 15 Nov",Oklahoma City,W116-115,6-3,Bogut  7,Curry  9,2013/2014,Thompson,27
"Sun, 17 Nov",Utah,W102-88,7-3,Bogut  11,Curry  11,2013/2014,Thompson,25
"Tue, 19 Nov",Utah,W98-87,8-3,Lee  14,Curry  8,2013/2014,Curry,22
"Thu, 21 Nov",Memphis,L88-81 OT,8-4,Bogut  14,Iguodala  14,2013/2014,Thompson,21
"Sat, 23 Nov",Los Angeles,L102-95,8-5,Lee  13,Iguodala  6,2013/2014,Lee,21
"Sun, 24 Nov",Portland,L113-101,8-6,Lee  12,Curry  11,2013/2014,Thompson,30
"Wed, 27 Nov",New Orleans,W102-101,9-6,O'Neal  8,Curry  9,2013/2014,Thompson,22
"Thu, 28 Nov",Dallas,L103-99,9-7,Lee  12,Curry  8,2013/2014,Curry,29
"Sat, 30 Nov",Oklahoma City,L113-112 OT,9-8,Lee  12,Curry  5,2013/2014,Curry,32
"Sun, 1 Dec",Sacramento,W115-113,10-8,Bogut  12,Curry  10,2013/2014,Curry,36
"Wed, 4 Dec",Toronto,W112-103,11-8,Lee  8,Curry  10,2013/2014,Curry,27
"Sat, 7 Dec",Houston,L105-83,11-9,Green  8,Curry  5,2013/2014,Curry,22
"Sun, 8 Dec",Memphis,W108-82,12-9,Bogut  12,Curry  15,2013/2014,Thompson,30
"Tue, 10 Dec",Charlotte,L115-111,12-10,Lee  16,Curry  9,2013/2014,Curry,43
"Thu, 12 Dec",Dallas,W95-93,13-10,Bogut  18,Curry  10,2013/2014,Curry,33
"Sat, 14 Dec",Houston,L116-112,13-11,Barnes  12,Curry  9,2013/2014,Lee,23
"Mon, 16 Dec",Phoenix,L106-102,13-12,Bogut  14,Curry  7,2013/2014,Curry,30
"Wed, 18 Dec",New Orleans,W104-93,14-12,Lee  17,Curry  11,2013/2014,Curry,28
"Fri, 20 Dec",San Antonio,L104-102,14-13,Bogut  18,Curry  15,2013/2014,Lee,32
"Sun, 22 Dec",Los Angeles,W102-83,15-13,Bogut  20,Curry  10,2013/2014,Lee,19
"Tue, 24 Dec",Denver,W89-81,16-13,Bogut  11,Curry  7,2013/2014,Lee,28
"Thu, 26 Dec",Los Angeles,W105-103,17-13,Bogut  14,Curry  11,2013/2014,Lee,23
"Sat, 28 Dec",Phoenix,W115-86,18-13,Curry  13,Curry  16,2013/2014,Thompson,21
"Sun, 29 Dec",Cleveland,W108-104 OT,19-13,Green  12,Curry  11,2013/2014,Curry,29
"Tue, 31 Dec",Orlando,W94-81,20-13,Bogut  11,Curry  8,2013/2014,Lee,22
"Fri, 3 Jan",Miami,W123-114,21-13,Lee  14,Curry  12,2013/2014,Curry,36
"Sat, 4 Jan",Atlanta,W101-100,22-13,Bogut  9,Curry  9,2013/2014,Lee,23
"Sun, 5 Jan",Washington,W112-96,23-13,Lee  11,Curry  10,2013/2014,Thompson,26
"Wed, 8 Jan",Milwaukee,W101-80,24-13,Lee  18,Curry  6,2013/2014,Lee,22
"Thu, 9 Jan",Brooklyn,L102-98,24-14,Bogut  9,Curry  7,2013/2014,Curry,34
"Sat, 11 Jan",Boston,W99-97,25-14,Bogut  13,Iguodala  7,2013/2014,Iguodala,22
"Thu, 16 Jan",Denver,L123-116,25-15,Lee  11,Curry  7,2013/2014,Lee,28
"Sat, 18 Jan",Oklahoma City,L127-121,25-16,Lee  9,Curry  11,2013/2014,Curry,37
"Sun, 19 Jan",New Orleans,W97-87,26-16,Bogut  15,Curry  8,2013/2014,Curry,28
"Tue, 21 Jan",Indiana,L102-94,26-17,Bogut  13,Curry  9,2013/2014,Curry,24
"Sat, 25 Jan",Minnesota,L121-120,26-18,Bogut  11,Curry  15,2013/2014,Curry,33
"Mon, 27 Jan",Portland,W103-88,27-18,Lee  12,Curry  8,2013/2014,Curry,38
"Wed, 29 Jan",Washington,L88-85,27-19,Bogut  14,Curry  4,2013/2014,Curry,23
"Fri, 31 Jan",Los Angeles,W111-92,28-19,Bogut  17,Curry  7,2013/2014,Lee,22
"Sat, 1 Feb",Utah,W95-90,29-19,Bogut  17,Bogut  5,2013/2014,Curry,44
"Wed, 5 Feb",Charlotte,L91-75,29-20,Bogut  15,Curry  11,2013/2014,Curry,17
"Fri, 7 Feb",Chicago,W102-87,30-20,Iguodala  8,Curry  9,2013/2014,Curry,34
"Sun, 9 Feb",Phoenix,L122-109,30-21,Iguodala  8,Curry  9,2013/2014,Curry,28
"Tue, 11 Feb",Philadelphia,W123-80,31-21,Lee  13,Curry  8,2013/2014,Speights,32
"Thu, 13 Feb",Miami,L111-110,31-22,Lee  11,Curry  7,2013/2014,Curry,29
"Thu, 20 Feb",Sacramento,W101-92,32-22,Lee  11,Curry  8,2013/2014,Lee,23
"Fri, 21 Feb",Houston,W102-99 OT,33-22,Lee  14,Iguodala  7,2013/2014,Lee,28
"Sun, 23 Feb",Brooklyn,W93-86,34-22,O'Neal  13,Curry  8,2013/2014,O'Neal,23
"Tue, 25 Feb",Detroit,W104-96,35-22,O'Neal  10,Curry  9,2013/2014,Curry,19
"Thu, 27 Feb",Chicago,L103-83,35-23,Iguodala  7,Curry  5,2013/2014,Crawford,16
"Sat, 1 Mar",New York,W126-103,36-23,Curry  11,Curry  11,2013/2014,Curry,27
"Sun, 2 Mar",Toronto,L104-98,36-24,Lee  11,Curry  7,2013/2014,Curry,34
"Wed, 5 Mar",Indiana,W98-96,37-24,Curry  8,Curry  6,2013/2014,Thompson,25
"Thu, 6 Mar",Boston,W108-88,38-24,Lee  10,Blake  6,2013/2014,Lee,18
"Sat, 8 Mar",Atlanta,W111-97,39-24,Bogut  9,Curry  7,2013/2014,Lee,18
"Mon, 10 Mar",Phoenix,W113-107,40-24,Lee  9,Curry  9,2013/2014,Lee,26
"Wed, 12 Mar",Dallas,W108-85,41-24,Bogut  10,Blake  8,2013/2014,Crawford,19
"Thu, 13 Mar",Los Angeles,L111-98,41-25,Lee  7,Curry  11,2013/2014,Thompson,26
"Sat, 15 Mar",Cleveland,L103-94,41-26,Bogut  12,Curry  8,2013/2014,Curry,27
"Mon, 17 Mar",Portland,W113-112,42-26,Green  8,Curry  5,2013/2014,Curry,37
"Wed, 19 Mar",Orlando,W103-89,43-26,Lee  10,Curry  5,2013/2014,Curry,23
"Fri, 21 Mar",Milwaukee,W115-110,44-26,Lee  12,Curry  10,2013/2014,Curry,31
"Sun, 23 Mar",San Antonio,L99-90,44-27,Bogut  17,Curry  6,2013/2014,Curry,20
"Sat, 29 Mar",Memphis,W100-93,45-27,Green  9,Curry  8,2013/2014,Curry,33
"Mon, 31 Mar",New York,L89-84,45-28,O'Neal  12,Iguodala  6,2013/2014,Curry,32
"Wed, 2 Apr",Dallas,W122-120 OT,46-28,Speights  9,Curry  10,2013/2014,Thompson,27
"Thu, 3 Apr",San Antonio,L111-90,46-29,Speights  9,Curry  10,2013/2014,Speights,22
"Sat, 5 Apr",Sacramento,W102-69,47-29,Speights  10,Curry  5,2013/2014,Thompson,21
"Mon, 7 Apr",Utah,W130-102,48-29,Bogut  11,Curry  16,2013/2014,Thompson,33
"Fri, 11 Apr",Denver,L100-99,48-30,Bogut  8,Curry  6,2013/2014,Curry,24
"Sat, 12 Apr",Los Angeles,W112-95,49-30,Curry  10,Curry  12,2013/2014,Curry,30
"Mon, 14 Apr",Portland,L119-117 OT,49-31,Bogut  9,Curry  5,2013/2014,Curry,47
"Tue, 15 Apr",Minnesota,W130-120,50-31,Green  12,Curry  15,2013/2014,Curry,32
"Thu, 30 Oct",Sacramento,W95-77,1-0,Curry  10,Thompson  6,2014/2015,Curry,24
"Sun, 2 Nov",Los Angeles,W127-104,2-0,Bogut  10,Curry  10,2014/2015,Thompson,41
"Mon, 3 Nov",Portland,W95-90,3-0,Bogut  12,Curry  6,2014/2015,Thompson,29
"Thu, 6 Nov",Los Angeles,W121-104,4-0,Bogut  14,Curry  7,2014/2015,Curry,28
"Sun, 9 Nov",Houston,W98-87,5-0,Bogut  18,Thompson  6,2014/2015,Curry,34
"Mon, 10 Nov",Phoenix,L107-95,5-1,Green  9,Curry  10,2014/2015,Curry,28
"Wed, 12 Nov",San Antonio,L113-100,5-2,Barnes  8,Curry  5,2014/2015,Thompson,29
"Fri, 14 Nov",Brooklyn,W107-99,6-2,Bogut  14,Green  7,2014/2015,Thompson,25
"Sun, 16 Nov",Charlotte,W112-87,7-2,Bogut  9,Curry  9,2014/2015,Thompson,21
"Mon, 17 Nov",Los Angeles,W136-115,8-2,Bogut  10,Curry  15,2014/2015,Curry,30
"Sat, 22 Nov",Utah,W101-88,9-2,Barnes  11,Curry  10,2014/2015,Iguodala,17
"Mon, 24 Nov",Oklahoma City,W91-86,10-2,Green  9,Curry  6,2014/2015,Speights,28
"Wed, 26 Nov",Miami,W114-97,11-2,Bogut  10,Curry  7,2014/2015,Curry,40
"Thu, 27 Nov",Orlando,W111-96,12-2,Bogut  12,Curry  8,2014/2015,Curry,28
"Sat, 29 Nov",Charlotte,W106-101,13-2,Green  10,Curry  6,2014/2015,Speights,27
"Sun, 30 Nov",Detroit,W104-93,14-2,Speights  12,Curry  10,2014/2015,Green,20
"Wed, 3 Dec",Orlando,W98-97,15-2,Barnes  12,Green  6,2014/2015,Curry,22
"Fri, 5 Dec",New Orleans,W112-85,16-2,Green  14,Curry  11,2014/2015,Thompson,23
"Sun, 7 Dec",Chicago,W112-102,17-2,Bogut  12,Curry  7,2014/2015,Green,31
"Tue, 9 Dec",Minnesota,W102-86,18-2,Green  10,Curry  7,2014/2015,Curry,21
"Thu, 11 Dec",Houston,W105-93,19-2,Speights  8,Curry  7,2014/2015,Thompson,21
"Sat, 13 Dec",Dallas,W105-98,20-2,Barnes  9,Curry  8,2014/2015,Curry,29
"Sun, 14 Dec",New Orleans,W128-122 OT,21-2,Green  13,Curry  7,2014/2015,Curry,34
"Wed, 17 Dec",Memphis,L105-98,21-3,Green  10,Curry  6,2014/2015,Thompson,22
"Fri, 19 Dec",Oklahoma City,W114-109,22-3,Green  9,Curry  9,2014/2015,Curry,34
"Tue, 23 Dec",Sacramento,W128-108,23-3,Barnes  8,Curry  11,2014/2015,Thompson,25
"Wed, 24 Dec",Los Angeles,L115-105,23-4,Lee  7,Curry  6,2014/2015,Curry,22
"Fri, 26 Dec",Los Angeles,L100-86,23-5,Barnes  13,Curry  7,2014/2015,Thompson,15
"Sun, 28 Dec",Minnesota,W110-97,24-5,Green  8,Curry  6,2014/2015,Curry,25
"Wed, 31 Dec",Philadelphia,W126-86,25-5,Green  10,Curry  9,2014/2015,Speights,23
"Sat, 3 Jan",Toronto,W126-105,26-5,Green  11,Green  13,2014/2015,Curry,32
"Tue, 6 Jan",Oklahoma City,W117-91,27-5,Green  13,Curry  6,2014/2015,Barnes,23
"Thu, 8 Jan",Indiana,W117-102,28-5,Green  9,Curry  15,2014/2015,Thompson,40
"Sat, 10 Jan",Cleveland,W112-94,29-5,Green  11,Curry  10,2014/2015,Thompson,24
"Wed, 14 Jan",Utah,W116-105,30-5,Lee  8,Curry  11,2014/2015,Curry,27
"Thu, 15 Jan",Miami,W104-89,31-5,Lee  6,Iguodala  7,2014/2015,Curry,32
"Sat, 17 Jan",Oklahoma City,L127-115,31-6,Green  9,Curry  6,2014/2015,Thompson,32
"Sun, 18 Jan",Houston,W131-106,32-6,Lee  8,Curry  11,2014/2015,Curry,27
"Mon, 19 Jan",Denver,W122-79,33-6,Lee  10,Curry  8,2014/2015,Thompson,22
"Thu, 22 Jan",Houston,W126-113,34-6,Lee  10,Curry  10,2014/2015,Thompson,27
"Sat, 24 Jan",Sacramento,W126-101,35-6,Lee  9,Curry  11,2014/2015,Thompson,52
"Mon, 26 Jan",Boston,W114-111,36-6,Bogut  13,Curry  11,2014/2015,Thompson,31
"Wed, 28 Jan",Chicago,L113-111 OT,36-7,Thompson  10,Curry  9,2014/2015,Thompson,30
"Sat, 31 Jan",Utah,L110-100,36-8,Speights  8,Curry  6,2014/2015,Curry,32
"Sun, 1 Feb",Phoenix,W106-87,37-8,Green  11,Curry  7,2014/2015,Curry,25
"Wed, 4 Feb",Sacramento,W121-96,38-8,Speights  8,Curry  9,2014/2015,Curry,23
"Thu, 5 Feb",Dallas,W128-114,39-8,Green  10,Green  6,2014/2015,Curry,51
"Sat, 7 Feb",Atlanta,L124-116,39-9,Green  20,Curry  9,2014/2015,Thompson,29
"Sun, 8 Feb",New York,W106-92,40-9,Green  13,Lee  5,2014/2015,Curry,22
"Tue, 10 Feb",Philadelphia,W89-84,41-9,Bogut  9,Curry  6,2014/2015,Curry,20
"Thu, 12 Feb",Minnesota,W94-91,42-9,Green  13,Curry  8,2014/2015,Curry,25
"Sat, 21 Feb",San Antonio,W110-99,43-9,Iguodala  6,Curry  11,2014/2015,Curry,25
"Sun, 22 Feb",Indiana,L104-98,43-10,Lee  12,Iguodala  4,2014/2015,Thompson,39
"Wed, 25 Feb",Washington,W114-107,44-10,Lee  10,Curry  8,2014/2015,Curry,32
"Fri, 27 Feb",Cleveland,L110-99,44-11,Green  8,Curry  6,2014/2015,Lee,19
"Sat, 28 Feb",Toronto,W113-89,45-11,Green  9,Livingston  8,2014/2015,Thompson,25
"Sun, 1 Mar",Boston,W106-101,46-11,Green  11,Curry  5,2014/2015,Curry,37
"Tue, 3 Mar",Brooklyn,L110-108,46-12,Green  11,Curry  7,2014/2015,Curry,26
"Thu, 5 Mar",Milwaukee,W102-93,47-12,Green  12,Curry  11,2014/2015,Green,23
"Sat, 7 Mar",Dallas,W104-89,48-12,Bogut  13,Curry  7,2014/2015,Curry,22
"Sun, 8 Mar",Los Angeles,W106-98,49-12,Livingston  8,Green  6,2014/2015,Green,23
"Tue, 10 Mar",Phoenix,W98-80,50-12,Green  10,Curry  5,2014/2015,Curry,36
"Thu, 12 Mar",Detroit,W105-98,51-12,Green  7,Curry  11,2014/2015,Thompson,27
"Sat, 14 Mar",Denver,L114-103,51-13,Green  6,Barbosa  9,2014/2015,Holiday,23
"Sun, 15 Mar",New York,W125-94,52-13,Green  7,Curry  11,2014/2015,Thompson,27
"Tue, 17 Mar",Los Angeles,W108-105,53-13,Green  8,Curry  9,2014/2015,Thompson,26
"Thu, 19 Mar",Atlanta,W114-95,54-13,Bogut  14,Curry  12,2014/2015,Barnes,25
"Sat, 21 Mar",New Orleans,W112-96,55-13,Green  8,Curry  11,2014/2015,Barnes,22
"Sun, 22 Mar",Utah,W106-91,56-13,Bogut  8,Green  7,2014/2015,Curry,24
"Tue, 24 Mar",Washington,W107-76,57-13,Bogut  12,Curry  6,2014/2015,Curry,24
"Wed, 25 Mar",Portland,W122-108,58-13,Bogut  16,Curry  10,2014/2015,Curry,33
"Sat, 28 Mar",Memphis,W107-84,59-13,Ezeli  8,Curry  10,2014/2015,Curry,38
"Sun, 29 Mar",Milwaukee,W108-95,60-13,Speights  7,Livingston  8,2014/2015,Curry,25
"Wed, 1 Apr",Los Angeles,W110-106,61-13,Bogut  9,Iguodala  7,2014/2015,Curry,27
"Fri, 3 Apr",Phoenix,W107-106,62-13,Bogut  9,Thompson  6,2014/2015,Curry,28
"Sun, 5 Apr",Dallas,W123-110,63-13,Bogut  11,Livingston  5,2014/2015,Thompson,21
"Mon, 6 Apr",San Antonio,L107-92,63-14,Bogut  7,Curry  6,2014/2015,Curry,24
"Wed, 8 Apr",New Orleans,L103-100,63-15,Green  14,Curry  9,2014/2015,Curry,25
"Fri, 10 Apr",Portland,W116-105,64-15,Green  14,Curry  10,2014/2015,Curry,45
"Sun, 12 Apr",Minnesota,W110-101,65-15,Green  14,Curry  7,2014/2015,Curry,34
"Tue, 14 Apr",Memphis,W111-107,66-15,Green  9,Curry  8,2014/2015,Thompson,42
"Wed, 28 Oct",New Orleans,W111-95,1-0,Barnes  9,Curry  7,2015/2016,Curry,40
"Sat, 31 Oct",Houston,W112-92,2-0,Curry  7,Green  7,2015/2016,Curry,25
"Sat, 31 Oct",New Orleans,W134-120,3-0,Barnes  7,Curry  9,2015/2016,Curry,53
"Tue, 3 Nov",Memphis,W119-69,4-0,Ezeli  10,Green  8,2015/2016,Curry,30
"Thu, 5 Nov",Los Angeles,W112-108,5-0,Barnes  9,Thompson  5,2015/2016,Curry,31
"Sat, 7 Nov",Denver,W119-104,6-0,Green  9,Curry  10,2015/2016,Curry,34
"Sun, 8 Nov",Sacramento,W103-94,7-0,Ezeli  12,Green  7,2015/2016,Curry,24
"Tue, 10 Nov",Detroit,W109-95,8-0,Green  10,Green  9,2015/2016,Thompson,24
"Thu, 12 Nov",Memphis,W100-84,9-0,Thompson  7,Curry  5,2015/2016,Curry,28
"Fri, 13 Nov",Minnesota,W129-116,10-0,Green  8,Green  12,2015/2016,Curry,46
"Sun, 15 Nov",Brooklyn,W107-99 OT,11-0,Bogut  18,Green  12,2015/2016,Curry,34
"Wed, 18 Nov",Toronto,W115-110,12-0,Green  9,Curry  9,2015/2016,Curry,37
"Fri, 20 Nov",Los Angeles,W124-117,13-0,Curry  11,Green  9,2015/2016,Curry,40
"Sat, 21 Nov",Chicago,W106-94,14-0,Barnes  9,Green  5,2015/2016,Curry,27
"Mon, 23 Nov",Denver,W118-105,15-0,Green  7,Thompson  7,2015/2016,Thompson,21
"Wed, 25 Nov",Los Angeles,W111-77,16-0,Iguodala  9,Curry  9,2015/2016,Curry,24
"Sat, 28 Nov",Phoenix,W135-116,17-0,Green  10,Green  10,2015/2016,Curry,41
"Sun, 29 Nov",Sacramento,W120-101,18-0,Green  11,Green  12,2015/2016,Curry,19
"Tue, 1 Dec",Utah,W106-103,19-0,Green  12,Green  8,2015/2016,Curry,26
"Thu, 3 Dec",Charlotte,W116-99,20-0,Green  11,Green  9,2015/2016,Curry,40
"Sat, 5 Dec",Toronto,W112-109,21-0,Ezeli  10,Curry  7,2015/2016,Curry,44
"Sun, 6 Dec",Brooklyn,W114-98,22-0,Green  9,Green  7,2015/2016,Curry,28
"Wed, 9 Dec",Indiana,W131-123,23-0,Bogut  10,Curry  10,2015/2016,Thompson,39
"Sat, 12 Dec",Boston,W124-119 2OT,24-0,Ezeli  12,Curry  8,2015/2016,Curry,38
"Sun, 13 Dec",Milwaukee,L108-95,24-1,Green  11,Curry  5,2015/2016,Curry,28
"Thu, 17 Dec",Phoenix,W128-103,25-1,Bogut  12,Green  10,2015/2016,Thompson,43
"Sat, 19 Dec",Milwaukee,W121-112,26-1,Curry  10,Curry  9,2015/2016,Thompson,27
"Thu, 24 Dec",Utah,W103-85,27-1,Bogut  13,Curry  9,2015/2016,Thompson,20
"Fri, 25 Dec",Cleveland,W89-83,28-1,Green  15,Green  7,2015/2016,Green,22
"Tue, 29 Dec",Sacramento,W122-103,29-1,Curry  14,Curry  10,2015/2016,Thompson,29
"Thu, 31 Dec",Dallas,L114-91,29-2,Bogut  10,Green  4,2015/2016,Clark,21
"Fri, 1 Jan",Houston,W114-110,30-2,Green  11,Green  16,2015/2016,Thompson,38
"Sun, 3 Jan",Denver,W111-108 OT,31-2,Green  17,Green  14,2015/2016,Green,29
"Tue, 5 Jan",Charlotte,W111-101,32-2,Green  15,Green  10,2015/2016,Thompson,30
"Wed, 6 Jan",Los Angeles,W109-88,33-2,Green  12,Curry  6,2015/2016,Thompson,36
"Sat, 9 Jan",Portland,W128-108,34-2,Green  13,Green  10,2015/2016,Thompson,36
"Sun, 10 Jan",Sacramento,W128-116,35-2,Bogut  11,Curry  11,2015/2016,Curry,38
"Tue, 12 Jan",Miami,W111-103,36-2,Green  12,Curry  6,2015/2016,Curry,31
"Thu, 14 Jan",Denver,L112-110,36-3,Bogut  7,Curry  9,2015/2016,Curry,38
"Fri, 15 Jan",Los Angeles,W116-98,37-3,Green  9,Green  5,2015/2016,Curry,26
"Sun, 17 Jan",Detroit,L113-95,37-4,Ezeli  10,Green  9,2015/2016,Curry,38
"Tue, 19 Jan",Cleveland,W132-98,38-4,Green  7,Green  10,2015/2016,Curry,35
"Thu, 21 Jan",Chicago,W125-94,39-4,Bogut  12,Curry  11,2015/2016,Curry,25
"Sat, 23 Jan",Indiana,W122-110,40-4,Green  11,Curry  12,2015/2016,Curry,39
"Tue, 26 Jan",San Antonio,W120-90,41-4,Green  9,Green  6,2015/2016,Curry,37
"Thu, 28 Jan",Dallas,W127-107,42-4,Bogut  9,Curry  9,2015/2016,Thompson,45
"Sat, 30 Jan",Philadelphia,W108-105,43-4,Bogut  16,Green  9,2015/2016,Thompson,32
"Mon, 1 Feb",New York,W116-95,44-4,Bogut  12,Green  10,2015/2016,Thompson,34
"Thu, 4 Feb",Washington,W134-121,45-4,Green  10,Green  12,2015/2016,Curry,51
"Sun, 7 Feb",Oklahoma City,W116-108,46-4,Green  15,Curry  10,2015/2016,Curry,26
"Wed, 10 Feb",Houston,W123-110,47-4,Bogut  11,Curry  9,2015/2016,Curry,35
"Thu, 11 Feb",Phoenix,W112-104,48-4,Curry  9,Curry  9,2015/2016,Curry,26
"Sat, 20 Feb",Portland,L137-105,48-5,Green  12,Green  8,2015/2016,Curry,31
"Sun, 21 Feb",Los Angeles,W115-112,49-5,Green  11,Green  10,2015/2016,Thompson,32
"Tue, 23 Feb",Atlanta,W102-92,50-5,Green  14,Green  9,2015/2016,Curry,36
"Thu, 25 Feb",Miami,W118-112,51-5,Green  11,Curry  7,2015/2016,Curry,42
"Fri, 26 Feb",Orlando,W130-114,52-5,Curry  7,Curry  8,2015/2016,Curry,51
"Sun, 28 Feb",Oklahoma City,W121-118 OT,53-5,Green  14,Green  14,2015/2016,Curry,46
"Wed, 2 Mar",Atlanta,W109-105 OT,54-5,Green  13,Green  9,2015/2016,Thompson,26
"Fri, 4 Mar",Oklahoma City,W121-106,55-5,Green  8,Livingston  8,2015/2016,Curry,33
"Sun, 6 Mar",Los Angeles,L112-95,55-6,Green  10,Green  9,2015/2016,Curry,18
"Tue, 8 Mar",Orlando,W119-113,56-6,Curry  13,Green  10,2015/2016,Curry,41
"Thu, 10 Mar",Utah,W115-94,57-6,Green  7,Curry  10,2015/2016,Thompson,23
"Sat, 12 Mar",Portland,W128-112,58-6,Green  13,Green  7,2015/2016,Thompson,37
"Sun, 13 Mar",Phoenix,W123-116,59-6,Speights  9,Curry  6,2015/2016,Curry,35
"Tue, 15 Mar",New Orleans,W125-107,60-6,Green  12,Curry  5,2015/2016,Curry,27
"Thu, 17 Mar",New York,W121-85,61-6,Green  11,Green  10,2015/2016,Curry,34
"Sat, 19 Mar",Dallas,W130-112,62-6,Curry  9,Curry  10,2015/2016,Thompson,39
"Sun, 20 Mar",San Antonio,L87-79,62-7,Green  9,Green  8,2015/2016,Thompson,15
"Tue, 22 Mar",Minnesota,W109-104,63-7,Green  9,Curry  11,2015/2016,Green,24
"Thu, 24 Mar",Los Angeles,W114-98,64-7,Green  12,Curry  5,2015/2016,Curry,33
"Sat, 26 Mar",Dallas,W128-120,65-7,Curry  8,Green  10,2015/2016,Thompson,40
"Mon, 28 Mar",Philadelphia,W117-105,66-7,Green  11,Green  11,2015/2016,Thompson,40
"Wed, 30 Mar",Washington,W102-94,67-7,Green  16,Green  9,2015/2016,Curry,26
"Thu, 31 Mar",Utah,W103-96 OT,68-7,Barnes  11,Green  6,2015/2016,Curry,31
"Sat, 2 Apr",Boston,L109-106,68-8,Green  9,Green  7,2015/2016,Curry,29
"Mon, 4 Apr",Portland,W136-111,69-8,Green  10,Green  10,2015/2016,Curry,39
"Wed, 6 Apr",Minnesota,L124-117 OT,69-9,Bogut  15,Curry  15,2015/2016,Thompson,28
"Fri, 8 Apr",San Antonio,W112-101,70-9,Bogut  11,Curry  9,2015/2016,Curry,27
