date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Sun, 10 Apr",Memphis,W100-99,71-9,Green  11,Curry  8,2015/2016,Green,23
"Mon, 11 Apr",San Antonio,W92-86,72-9,Iguodala  7,Curry  5,2015/2016,Curry,37
"Wed, 26 Oct",San Antonio,L129-100,0-1,Green  12,Green  6,2016/2017,Durant,27
"Sat, 29 Oct",New Orleans,W122-114,1-1,Durant  17,Curry  8,2016/2017,Durant,30
"Sun, 30 Oct",Phoenix,W106-100,2-1,Green  13,Green  9,2016/2017,Durant,37
"Wed, 2 Nov",Portland,W127-104,3-1,Green  8,Green  9,2016/2017,Curry,28
"Fri, 4 Nov",Oklahoma City,W122-96,4-1,Green  10,Curry  7,2016/2017,Durant,39
"Sat, 5 Nov",Los Angeles,L117-97,4-2,Green  9,Curry  10,2016/2017,Durant,27
"Tue, 8 Nov",New Orleans,W116-106,5-2,Green  12,Green  11,2016/2017,Curry,46
"Thu, 10 Nov",Dallas,W116-95,6-2,Durant  10,Curry  6,2016/2017,Durant,28
"Fri, 11 Nov",Denver,W125-101,7-2,Durant  9,Curry  6,2016/2017,Curry,33
"Mon, 14 Nov",Phoenix,W133-120,8-2,Durant  9,Green  11,2016/2017,Curry,30
"Thu, 17 Nov",Toronto,W127-121,9-2,Durant  9,Curry  7,2016/2017,Curry,35
"Sat, 19 Nov",Boston,W104-88,10-2,Pachulia  13,Curry  8,2016/2017,Thompson,28
"Sun, 20 Nov",Milwaukee,W124-121,11-2,Pachulia  10,Durant  5,2016/2017,Durant,33
"Tue, 22 Nov",Indiana,W120-83,12-2,Durant  11,Green  7,2016/2017,Thompson,25
"Thu, 24 Nov",Los Angeles,W149-106,13-2,Green  9,Green  11,2016/2017,Curry,31
"Sat, 26 Nov",Los Angeles,W109-85,14-2,Green  8,Durant  9,2016/2017,Durant,29
"Sun, 27 Nov",Minnesota,W115-102,15-2,Durant  10,Curry  6,2016/2017,Curry,34
"Tue, 29 Nov",Atlanta,W105-100,16-2,Durant  14,Green  7,2016/2017,Durant,25
"Fri, 2 Dec",Houston,L132-127 2OT,16-3,Green  15,Green  9,2016/2017,Durant,39
"Sun, 4 Dec",Phoenix,W138-109,17-3,Iguodala  6,Green  14,2016/2017,Curry,31
"Tue, 6 Dec",Indiana,W142-106,18-3,Durant  8,Curry  11,2016/2017,Thompson,60
"Thu, 8 Dec",Los Angeles,W115-98,19-3,Durant  8,Durant  7,2016/2017,Thompson,24
"Fri, 9 Dec",Utah,W106-99,20-3,Durant  11,Green  8,2016/2017,Curry,26
"Sun, 11 Dec",Memphis,L110-89,20-4,Curry  8,West  4,2016/2017,Durant,21
"Mon, 12 Dec",Minnesota,W116-108,21-4,Durant  8,Curry  9,2016/2017,Thompson,30
"Wed, 14 Dec",New Orleans,W113-109,22-4,Green  14,Green  10,2016/2017,Curry,30
"Fri, 16 Dec",New York,W103-90,23-4,Durant  14,Durant  8,2016/2017,Thompson,25
"Sun, 18 Dec",Portland,W135-90,24-4,Green  12,Green  13,2016/2017,Durant,34
"Wed, 21 Dec",Utah,W104-74,25-4,Green  11,Curry  4,2016/2017,Curry,25
"Fri, 23 Dec",Brooklyn,W117-101,26-4,Pachulia  14,Durant  7,2016/2017,Durant,26
"Sat, 24 Dec",Detroit,W119-113,27-4,Green  9,Green  12,2016/2017,Durant,32
"Sun, 25 Dec",Cleveland,L109-108,27-5,Durant  15,West  5,2016/2017,Durant,36
"Thu, 29 Dec",Toronto,W121-111,28-5,Durant  17,Green  10,2016/2017,Curry,28
"Sat, 31 Dec",Dallas,W108-99,29-5,Durant  11,Durant  10,2016/2017,Thompson,29
"Tue, 3 Jan",Denver,W127-119,30-5,Green  10,Green  13,2016/2017,Thompson,25
"Thu, 5 Jan",Portland,W125-117,31-5,Curry  7,Green  11,2016/2017,Curry,35
"Sat, 7 Jan",Memphis,L128-119 OT,31-6,Durant  13,Curry  6,2016/2017,Curry,40
"Mon, 9 Jan",Sacramento,W117-106,32-6,Durant  7,Green  10,2016/2017,Curry,30
"Wed, 11 Jan",Miami,W107-95,33-6,Green  9,Curry  9,2016/2017,Durant,28
"Fri, 13 Jan",Detroit,W127-107,34-6,Green  9,Green  13,2016/2017,Durant,25
"Tue, 17 Jan",Cleveland,W126-91,35-6,Green  13,Curry  11,2016/2017,Thompson,26
"Thu, 19 Jan",Oklahoma City,W121-100,36-6,Durant  12,Curry  8,2016/2017,Durant,40
"Sat, 21 Jan",Houston,W125-108,37-6,Green  9,Green  8,2016/2017,Durant,32
"Sun, 22 Jan",Orlando,W118-98,38-6,Durant  10,Curry  6,2016/2017,Curry,27
"Tue, 24 Jan",Miami,L105-102,38-7,Pachulia  10,Curry  8,2016/2017,Durant,27
"Thu, 26 Jan",Charlotte,W113-103,39-7,Iguodala  10,Curry  7,2016/2017,Durant,33
"Sun, 29 Jan",Los Angeles,W144-98,40-7,Curry  9,Durant  7,2016/2017,Curry,43
"Mon, 30 Jan",Portland,W113-111,41-7,Durant  10,Durant  6,2016/2017,Durant,33
"Thu, 2 Feb",Charlotte,W126-111,42-7,Green  10,Curry  8,2016/2017,Curry,39
"Fri, 3 Feb",Los Angeles,W133-120,43-7,McAdoo  9,Curry  11,2016/2017,Curry,29
"Sun, 5 Feb",Sacramento,L109-106 OT,43-8,Durant  9,Curry  9,2016/2017,Curry,35
"Thu, 9 Feb",Chicago,W123-92,44-8,Durant  10,Durant  7,2016/2017,Thompson,28
"Sat, 11 Feb",Memphis,W122-107,45-8,Green  11,Green  10,2016/2017,Thompson,36
"Sun, 12 Feb",Oklahoma City,W130-114,46-8,Durant  9,Curry  9,2016/2017,Durant,34
"Tue, 14 Feb",Denver,L132-110,46-9,McGee  7,Green  6,2016/2017,Durant,25
"Thu, 16 Feb",Sacramento,W109-86,47-9,McGee  10,Curry  9,2016/2017,Thompson,35
"Fri, 24 Feb",Los Angeles,W123-113,48-9,Durant  15,Durant  7,2016/2017,Curry,35
"Sun, 26 Feb",Brooklyn,W112-95,49-9,Pachulia  9,Iguodala  9,2016/2017,Curry,27
"Tue, 28 Feb",Philadelphia,W119-108,50-9,Iguodala  10,Green  11,2016/2017,Durant,27
"Wed, 1 Mar",Washington,L112-108,50-10,Green  8,Green  14,2016/2017,Curry,25
"Fri, 3 Mar",Chicago,L94-87,50-11,Green  8,Green  7,2016/2017,Curry,23
"Sun, 5 Mar",New York,W112-105,51-11,Curry  8,Curry  6,2016/2017,Curry,31
"Tue, 7 Mar",Atlanta,W119-111,52-11,Green  8,Curry  9,2016/2017,Iguodala,24
"Thu, 9 Mar",Boston,L99-86,52-12,Green  8,Curry  6,2016/2017,Thompson,25
"Sat, 11 Mar",Minnesota,L103-102,52-13,Green  7,Curry  7,2016/2017,Thompson,30
"Sun, 12 Mar",San Antonio,L107-85,52-14,Pachulia  12,Barnes  4,2016/2017,Clark,36
"Wed, 15 Mar",Philadelphia,W106-104,53-14,Green  9,Green  8,2016/2017,Curry,29
"Fri, 17 Mar",Orlando,W122-92,54-14,Green  11,Curry  9,2016/2017,Thompson,29
"Sun, 19 Mar",Milwaukee,W117-92,55-14,Barnes  10,Green  10,2016/2017,Curry,28
"Tue, 21 Mar",Oklahoma City,W111-95,56-14,Green  10,Curry  6,2016/2017,Thompson,34
"Wed, 22 Mar",Dallas,W112-87,57-14,Green  7,Curry  9,2016/2017,Thompson,23
"Sat, 25 Mar",Sacramento,W114-100,58-14,McGee  10,Curry  12,2016/2017,Curry,27
"Mon, 27 Mar",Memphis,W106-94,59-14,Iguodala  7,Curry  11,2016/2017,Thompson,31
"Wed, 29 Mar",Houston,W113-106,60-14,Curry  10,Curry  7,2016/2017,Curry,32
"Thu, 30 Mar",San Antonio,W110-98,61-14,Iguodala  6,Curry  11,2016/2017,Curry,29
"Sat, 1 Apr",Houston,W107-98,62-14,Thompson  8,Green  8,2016/2017,Curry,24
"Mon, 3 Apr",Washington,W139-115,63-14,Green  11,Green  13,2016/2017,Curry,42
"Wed, 5 Apr",Minnesota,W121-107,64-14,Pachulia  7,Curry  9,2016/2017,Thompson,41
"Thu, 6 Apr",Phoenix,W120-111,65-14,Barnes  8,Curry  11,2016/2017,Curry,42
"Sun, 9 Apr",New Orleans,W123-101,66-14,Durant  10,Durant  6,2016/2017,Thompson,20
"Tue, 11 Apr",Utah,L105-99,66-15,Durant  10,Durant  6,2016/2017,Curry,28
"Wed, 18 Oct",Houston,L122-121,0-1,Green  11,Green  13,2017/2018,Young,23
"Sat, 21 Oct",New Orleans,W128-120,1-1,Pachulia  9,Green  9,2017/2018,Thompson,33
"Sun, 22 Oct",Memphis,L111-101,1-2,Durant  13,Green  6,2017/2018,Curry,37
"Tue, 24 Oct",Dallas,W133-103,2-2,Durant  8,Curry  8,2017/2018,Curry,29
"Thu, 26 Oct",Toronto,W117-112,3-2,Green  11,Green  6,2017/2018,Curry,30
"Sat, 28 Oct",Washington,W120-117,4-2,Durant  11,Curry  8,2017/2018,Durant,31
"Mon, 30 Oct",Detroit,L115-107,4-3,Green  13,Curry  8,2017/2018,Thompson,29
"Tue, 31 Oct",Los Angeles,W141-113,5-3,Green  9,Curry  6,2017/2018,Curry,31
"Fri, 3 Nov",San Antonio,W112-92,6-3,Durant  8,Green  6,2017/2018,Thompson,27
"Sun, 5 Nov",Denver,W127-108,7-3,Casspi  8,Curry  11,2017/2018,Durant,25
"Tue, 7 Nov",Miami,W97-80,8-3,Green  9,Durant  6,2017/2018,Durant,21
"Thu, 9 Nov",Minnesota,W125-101,9-3,Curry  8,Curry  8,2017/2018,Thompson,28
"Sun, 12 Nov",Philadelphia,W135-114,10-3,Green  10,Curry  9,2017/2018,Durant,29
"Tue, 14 Nov",Orlando,W110-100,11-3,West  11,Durant  8,2017/2018,Durant,21
"Fri, 17 Nov",Boston,L92-88,11-4,Green  8,Green  5,2017/2018,Durant,24
"Sun, 19 Nov",Philadelphia,W124-116,12-4,West  7,Green  8,2017/2018,Curry,35
"Sun, 19 Nov",Brooklyn,W118-111,13-4,Curry  11,Green  8,2017/2018,Curry,39
"Thu, 23 Nov",Oklahoma City,L108-91,13-5,Casspi  6,Curry  6,2017/2018,Curry,24
"Sat, 25 Nov",Chicago,W143-94,14-5,Curry  7,Pachulia  6,2017/2018,Curry,33
"Sun, 26 Nov",New Orleans,W110-95,15-5,Green  7,Green  8,2017/2018,Curry,27
"Tue, 28 Nov",Sacramento,L110-106,15-6,West  7,Green  8,2017/2018,Thompson,21
"Thu, 30 Nov",Los Angeles,W127-123 OT,16-6,Green  11,Green  9,2017/2018,Durant,29
"Sat, 2 Dec",Orlando,W133-112,17-6,Pachulia  8,Curry  10,2017/2018,Thompson,27
"Mon, 4 Dec",Miami,W123-95,18-6,Green  7,Green  9,2017/2018,Curry,30
"Tue, 5 Dec",New Orleans,W125-115,19-6,Green  9,Curry  11,2017/2018,Curry,31
"Thu, 7 Dec",Charlotte,W101-87,20-6,Durant  11,Durant  10,2017/2018,Durant,35
"Sat, 9 Dec",Detroit,W102-98,21-6,Durant  10,Green  13,2017/2018,Durant,36
"Tue, 12 Dec",Portland,W111-104,22-6,Durant  9,Durant  5,2017/2018,Durant,28
"Fri, 15 Dec",Dallas,W112-97,23-6,Durant  11,Iguodala  10,2017/2018,Durant,36
"Tue, 19 Dec",Los Angeles,W116-114 OT,24-6,Durant  11,Durant  8,2017/2018,Durant,36
"Thu, 21 Dec",Memphis,W97-84,25-6,Durant  8,Thompson  5,2017/2018,Thompson,29
"Sat, 23 Dec",Los Angeles,W113-106,26-6,Green  11,Durant  7,2017/2018,Durant,33
"Sun, 24 Dec",Denver,L96-81,26-7,Bell  10,Iguodala  7,2017/2018,Durant,18
"Mon, 25 Dec",Cleveland,W99-92,27-7,Green  12,Green  11,2017/2018,Durant,25
"Thu, 28 Dec",Utah,W126-101,28-7,Bell  13,Green  8,2017/2018,Durant,21
"Sat, 30 Dec",Charlotte,L111-100,28-8,Green  11,Green  16,2017/2018,Durant,27
"Sun, 31 Dec",Memphis,W141-128,29-8,West  11,Durant  9,2017/2018,Curry,38
"Thu, 4 Jan",Dallas,W125-122,30-8,Durant  12,Curry  8,2017/2018,Curry,32
"Fri, 5 Jan",Houston,W124-114,31-8,Green  14,Green  10,2017/2018,Curry,29
"Sat, 6 Jan",Los Angeles,W121-105,32-8,Green  12,Green  7,2017/2018,Curry,45
"Tue, 9 Jan",Denver,W124-114,33-8,Bell  8,Green  10,2017/2018,Curry,32
"Thu, 11 Jan",Los Angeles,L125-106,33-9,Green  10,Durant  4,2017/2018,Durant,40
"Sat, 13 Jan",Milwaukee,W108-94,34-9,Green  10,Green  7,2017/2018,Durant,26
"Sun, 14 Jan",Toronto,W127-125,35-9,Durant  6,Curry  9,2017/2018,Thompson,26
"Tue, 16 Jan",Cleveland,W118-108,36-9,Green  16,Green  9,2017/2018,Durant,32
"Thu, 18 Jan",Chicago,W119-112,37-9,Pachulia  11,Durant  7,2017/2018,Thompson,38
"Sun, 21 Jan",Houston,L116-108,37-10,Durant  7,Curry  8,2017/2018,Durant,26
"Wed, 24 Jan",New York,W123-112,38-10,Curry  6,Durant  14,2017/2018,Curry,32
"Fri, 26 Jan",Minnesota,W126-113,39-10,Durant  10,Durant  11,2017/2018,Durant,28
"Sun, 28 Jan",Boston,W109-105,40-10,Green  11,Curry  5,2017/2018,Curry,49
"Wed, 31 Jan",Utah,L129-99,40-11,Pachulia  7,Curry  5,2017/2018,Thompson,27
"Sat, 3 Feb",Sacramento,W119-104,41-11,Pachulia  13,Durant  6,2017/2018,Durant,33
"Sun, 4 Feb",Denver,L115-108,41-12,Pachulia  8,Green  8,2017/2018,Durant,31
"Wed, 7 Feb",Oklahoma City,L125-105,41-13,Green  8,Green  7,2017/2018,Durant,33
"Fri, 9 Feb",Dallas,W121-103,42-13,Green  10,Curry  8,2017/2018,Durant,24
"Sun, 11 Feb",San Antonio,W122-105,43-13,Green  8,Green  11,2017/2018,Thompson,25
"Tue, 13 Feb",Phoenix,W129-83,44-13,Casspi  10,Curry  7,2017/2018,Curry,22
"Thu, 15 Feb",Portland,L123-117,44-14,Green  12,Green  7,2017/2018,Durant,50
"Fri, 23 Feb",Los Angeles,W134-127,45-14,Green  8,Curry  10,2017/2018,Curry,44
"Sun, 25 Feb",Oklahoma City,W112-80,46-14,Curry  9,Green  8,2017/2018,Durant,28
"Tue, 27 Feb",New York,W125-111,47-14,Durant  9,Green  6,2017/2018,Thompson,26
"Thu, 1 Mar",Washington,W109-101,48-14,Iguodala  7,Green  11,2017/2018,Durant,32
"Sat, 3 Mar",Atlanta,W114-109,49-14,Green  7,Green  9,2017/2018,Durant,28
"Wed, 7 Mar",Brooklyn,W114-101,50-14,Curry  6,Green  9,2017/2018,Curry,34
"Fri, 9 Mar",San Antonio,W110-107,51-14,Green  12,Green  10,2017/2018,Durant,37
"Sat, 10 Mar",Portland,L125-108,51-15,Green  12,Durant  6,2017/2018,Durant,40
"Sun, 11 Mar",Minnesota,L109-103,51-16,Durant  12,Green  7,2017/2018,Durant,39
"Thu, 15 Mar",Los Angeles,W117-106,52-16,Pachulia  12,Durant  6,2017/2018,Durant,26
"Sat, 17 Mar",Sacramento,L98-93,52-17,Green  10,Green  7,2017/2018,Cook,25
"Sun, 18 Mar",Phoenix,W124-109,53-17,Green  11,Green  8,2017/2018,Cook,28
"Tue, 20 Mar",San Antonio,L89-75,53-18,Looney  8,Cook  5,2017/2018,Cook,20
"Sat, 24 Mar",Atlanta,W106-94,54-18,Pachulia  9,Cook  6,2017/2018,Curry,29
"Mon, 26 Mar",Utah,L110-91,54-19,McGee  9,Cook  8,2017/2018,Cook,17
"Wed, 28 Mar",Indiana,L92-81,54-20,Looney  11,Cook  7,2017/2018,Young,12
"Fri, 30 Mar",Milwaukee,L116-107,54-21,Green  5,Green  6,2017/2018,Cook,30
"Sun, 1 Apr",Sacramento,W112-96,55-21,Durant  10,Green  7,2017/2018,Durant,27
"Mon, 2 Apr",Phoenix,W117-107,56-21,Durant  11,Green  12,2017/2018,Durant,29
"Wed, 4 Apr",Oklahoma City,W111-107,57-21,Durant  10,Green  8,2017/2018,Durant,34
"Fri, 6 Apr",Indiana,L126-106,57-22,Thompson  7,Durant  7,2017/2018,Durant,27
"Sun, 8 Apr",New Orleans,L126-120,57-23,Durant  10,Green  9,2017/2018,Durant,41
"Mon, 9 Apr",Phoenix,W117-100,58-23,Green  6,Durant  9,2017/2018,Thompson,34
"Wed, 17 Oct",Oklahoma City,W108-100,1-0,Green  13,Curry  9,2018/2019,Curry,32
"Sat, 20 Oct",Utah,W124-123,2-0,Durant  9,Curry  8,2018/2019,Durant,38
"Mon, 22 Oct",Denver,L100-98,2-1,Durant  11,Durant  7,2018/2019,Curry,30
"Tue, 23 Oct",Phoenix,W123-103,3-1,McKinnie  7,Curry  8,2018/2019,Curry,29
"Thu, 25 Oct",Washington,W144-122,4-1,Durant  8,Green  12,2018/2019,Curry,51
"Sat, 27 Oct",New York,W128-100,5-1,Durant  9,Green  6,2018/2019,Durant,41
"Sun, 28 Oct",Brooklyn,W120-114,6-1,Durant  8,Green  13,2018/2019,Curry,35
"Tue, 30 Oct",Chicago,W149-124,7-1,McKinnie  10,Green  12,2018/2019,Thompson,52
"Thu, 1 Nov",New Orleans,W131-121,8-1,Green  14,Curry  9,2018/2019,Curry,37
"Sat, 3 Nov",Minnesota,W116-99,9-1,Durant  13,Green  11,2018/2019,Durant,33
"Tue, 6 Nov",Memphis,W117-101,10-1,Looney  9,Curry  7,2018/2019,Thompson,27
"Fri, 9 Nov",Milwaukee,L134-111,10-2,Durant  5,Durant  9,2018/2019,Thompson,24
"Sun, 11 Nov",Brooklyn,W116-100,11-2,Bell  8,Durant  11,2018/2019,Durant,28
"Tue, 13 Nov",Los Angeles,L121-116 OT,11-3,Green  14,Durant  10,2018/2019,Durant,33
"Wed, 14 Nov",Atlanta,W110-103,12-3,Jerebko  13,Cook  6,2018/2019,Durant,29
"Fri, 16 Nov",Houston,L107-86,12-4,Iguodala  6,Green  5,2018/2019,Durant,20
"Sun, 18 Nov",Dallas,L112-109,12-5,Jerebko  10,Thompson  4,2018/2019,Durant,32
"Mon, 19 Nov",San Antonio,L104-92,12-6,Durant  10,Durant  6,2018/2019,Durant,26
"Thu, 22 Nov",Oklahoma City,L123-95,12-7,Durant  14,Cook  6,2018/2019,Durant,27
"Sat, 24 Nov",Portland,W125-97,13-7,Durant  9,Durant  7,2018/2019,Durant,32
"Sun, 25 Nov",Sacramento,W117-116,14-7,Durant  13,Durant  7,2018/2019,Durant,44
"Tue, 27 Nov",Orlando,W116-110,15-7,Durant  6,Durant  9,2018/2019,Durant,49
"Fri, 30 Nov",Toronto,L131-128 OT,15-8,Durant  11,Livingston  7,2018/2019,Durant,51
"Sun, 2 Dec",Detroit,L111-102,15-9,Thompson  8,Durant  7,2018/2019,Durant,28
"Tue, 4 Dec",Atlanta,W128-111,16-9,Thompson  8,Durant  8,2018/2019,Curry,30
"Thu, 6 Dec",Cleveland,W129-105,17-9,Durant  10,Durant  9,2018/2019,Curry,42
"Sat, 8 Dec",Milwaukee,W105-95,18-9,Iguodala  8,Curry  8,2018/2019,Thompson,20
"Tue, 11 Dec",Minnesota,W116-108,19-9,Green  10,Green  7,2018/2019,Curry,38
"Thu, 13 Dec",Toronto,L113-93,19-10,Durant  7,Green  7,2018/2019,Durant,30
"Sat, 15 Dec",Sacramento,W130-125,20-10,Green  14,Green  10,2018/2019,Curry,35
"Tue, 18 Dec",Memphis,W110-93,21-10,Curry  7,Durant  5,2018/2019,Durant,23
"Thu, 20 Dec",Utah,L108-103,21-11,Green  12,Livingston  5,2018/2019,Curry,32
"Sun, 23 Dec",Dallas,W120-116,22-11,Durant  12,Durant  8,2018/2019,Durant,29
"Mon, 24 Dec",Los Angeles,W129-127,23-11,Durant  12,Green  6,2018/2019,Curry,42
"Wed, 26 Dec",Los Angeles,L127-101,23-12,Durant  7,Durant  7,2018/2019,Iguodala,23
"Fri, 28 Dec",Portland,L110-109 OT,23-13,Green  11,Durant  11,2018/2019,Curry,29
"Sun, 30 Dec",Portland,W115-105,24-13,Green  9,Curry  8,2018/2019,Thompson,32
"Tue, 1 Jan",Phoenix,W132-109,25-13,Curry  9,Green  7,2018/2019,Curry,34
"Fri, 4 Jan",Houston,L135-134 OT,25-14,Green  11,Green  8,2018/2019,Curry,35
"Sun, 6 Jan",Sacramento,W127-123,26-14,Jerebko  8,Durant  9,2018/2019,Curry,42
"Wed, 9 Jan",New York,W122-95,27-14,Green  11,Curry  14,2018/2019,Thompson,43
"Sat, 12 Jan",Chicago,W146-109,28-14,McKinnie  8,Curry  8,2018/2019,Thompson,30
"Mon, 14 Jan",Dallas,W119-114,29-14,Jerebko  8,Green  7,2018/2019,Curry,48
"Wed, 16 Jan",Denver,W142-111,30-14,Looney  12,Green  13,2018/2019,Curry,31
"Thu, 17 Jan",New Orleans,W147-140,31-14,Durant  15,Green  14,2018/2019,Curry,41
"Sat, 19 Jan",Los Angeles,W112-94,32-14,Green  8,Green  9,2018/2019,Curry,28
"Tue, 22 Jan",Los Angeles,W130-111,33-14,Cousins  9,Curry  12,2018/2019,Thompson,44
"Fri, 25 Jan",Washington,W126-118,34-14,Green  15,Green  7,2018/2019,Curry,38
"Sun, 27 Jan",Boston,W115-111,35-14,Green  11,Green  8,2018/2019,Durant,33
"Tue, 29 Jan",Indiana,W132-100,36-14,Curry  6,Iguodala  8,2018/2019,Curry,26
"Fri, 1 Feb",Philadelphia,L113-104,36-15,Green  8,Green  10,2018/2019,Curry,41
"Sun, 3 Feb",Los Angeles,W115-101,37-15,Cousins  10,Durant  11,2018/2019,Thompson,28
"Thu, 7 Feb",San Antonio,W141-102,38-15,Durant  8,Durant  9,2018/2019,Thompson,26
"Sat, 9 Feb",Phoenix,W117-107,39-15,Durant  8,Curry  7,2018/2019,Thompson,25
"Mon, 11 Feb",Miami,W120-118,40-15,Green  7,Green  14,2018/2019,Durant,39
"Wed, 13 Feb",Utah,W115-108,41-15,Cousins  10,Durant  7,2018/2019,Durant,28
"Thu, 14 Feb",Portland,L129-107,41-16,Bell  9,Thompson  8,2018/2019,Curry,32
"Fri, 22 Feb",Sacramento,W125-123,42-16,Cousins  10,Green  8,2018/2019,Curry,36
"Sun, 24 Feb",Houston,L118-112,42-17,Cousins  14,Curry  7,2018/2019,Durant,29
"Tue, 26 Feb",Charlotte,W121-110,43-17,Cousins  11,Green  10,2018/2019,Thompson,26
"Thu, 28 Feb",Miami,L126-125,43-18,Curry  6,Durant  5,2018/2019,Thompson,36
"Fri, 1 Mar",Orlando,L103-96,43-19,Cousins  11,Curry  6,2018/2019,Curry,33
"Sun, 3 Mar",Philadelphia,W120-117,44-19,Green  9,Green  10,2018/2019,Durant,34
"Wed, 6 Mar",Boston,L128-95,44-20,Cousins  9,Green  5,2018/2019,Curry,23
"Sat, 9 Mar",Denver,W122-105,45-20,Green  10,Durant  6,2018/2019,Thompson,39
